iter	Passed	Remaining
665	1384	694
666	1385	691
667	1386	688
668	1386	686
669	1387	683
670	1389	681
671	1390	678
672	1391	676
673	1392	673
674	1393	670
675	1394	668
676	1395	665
677	1396	663
678	1397	660
679	1398	657
680	1399	655
681	1399	652
682	1400	650
683	1401	647
684	1403	645
685	1404	642
686	1404	640
687	1405	637
688	1406	634
689	1407	632
690	1408	629
691	1409	627
692	1410	624
693	1411	622
694	1412	619
695	1413	617
696	1414	614
697	1415	612
698	1415	609
699	1417	607
700	1418	604
701	1418	602
702	1420	599
703	1421	597
704	1421	595
705	1422	592
706	1423	590
707	1424	587
708	1425	585
709	1426	582
710	1427	580
711	1428	577
712	1429	575
713	1430	572
714	1431	570
715	1433	568
716	1434	566
717	1435	563
718	1436	561
719	1436	558
720	1437	556
721	1438	554
722	1440	551
723	1440	549
724	1441	546
725	1442	544
726	1443	542
727	1444	539
728	1445	537
729	1446	535
730	1447	532
731	1448	530
732	1449	527
733	1449	525
734	1451	523
735	1451	520
736	1452	518
737	1453	516
738	1454	513
739	1455	511
740	1456	509
741	1457	506
742	1458	504
743	1459	502
744	1460	499
745	1461	497
746	1462	495
747	1463	493
748	1464	490
749	1465	488
750	1466	486
751	1467	483
752	1468	481
753	1469	479
754	1469	477
755	1470	474
756	1471	472
757	1472	470
758	1473	467
759	1474	465
760	1475	463
761	1476	461
762	1477	459
763	1478	456
764	1479	454
765	1480	452
766	1481	449
767	1482	447
768	1482	445
769	1483	443
770	1484	440
771	1485	438
772	1486	436
773	1487	434
774	1488	432
775	1489	429
776	1490	427
777	1491	425
778	1492	423
779	1493	421
780	1494	419
781	1495	416
782	1496	414
783	1497	412
784	1498	410
785	1499	408
786	1499	405
787	1500	403
788	1502	401
789	1503	399
790	1505	397
791	1506	395
792	1507	393
793	1509	391
794	1511	389
795	1511	387
796	1513	385
797	1514	383
798	1515	381
799	1516	379
800	1517	376
801	1518	374
802	1520	372
803	1521	370
804	1522	368
805	1523	366
806	1524	364
